" is out of stock!","er utsolgt!"
"404 Page Not Found","404 Side Ikke Funnet"
"Account data has successfully been updated","Kontodata er oppdatert"
"Add review","Legg til anmeldelse"
"Adding a review ...","Legger til en anmeldelse ..."
"Address provided in checkout contains invalid data. Please check if all required fields are filled in and also contact us on {email} to resolve this issue for future. Your order has been canceled.","Adresse gitt i kassen inneholder ugyldige data. Sjekk om alle nødvendige felt er fylt ut, og kontakt oss også på {email} for å løse dette problemet for fremtiden. Bestillingen din er kansellert."
"Allow notification about the order","Tillat varsel om bestillingen"
"Are you sure you would like to remove this item from the shopping cart?","Er du sikker på at du vil fjerne denne varen fra handlekurven?"
"Checkout","Sjekk ut"
"Columns","kolonner"
"Compare Products","Sammenlign produkter"
"Compare products","Sammenlign produkter"
"Confirm your order","Bekreft din bestilling"
"Error refreshing user token. User is not authorized to access the resource","Feil ved oppdatering av brukerens token. Bruker har ikke autorisasjon til å få tilgang til ressursen"
"Error with response - bad content-type!","Feil med svar - dårlig innholdstype!"
"Error: Error while adding products","Feil: Feil under tilføring av produkter"
"Extension developers would like to thank you for placing an order!","Utvidelsesutviklere vil takke for at du har bestilt!"
"Field is required","Feltet er påkrevet"
"Field is required.","Feltet er påkrevet."
"Grand total","Stor summen"
"Home Page","Hjemmeside"
"In stock!","På lager!"
"Internal Application error while refreshing the tokens. Please clear the storage and refresh page.","Intern applikasjonsfeil mens du oppdaterer symbolene. Fjern lagrings- og oppdateringssiden."
"Internal validation error. Please check if all required fields are filled in. Please contact us on {email}","Intern valideringsfeil. Vennligst sjekk om alle nødvendige felt er fylt ut. Ta kontakt med oss ​​på {email}"
"Must be greater than 0","Må være større enn 0"
"My Account","Min konto"
"Newsletter preferences have successfully been updated","Innstillinger for nyhetsbrev er oppdatert"
"No available product variants","Ingen tilgjengelige produktvarianter"
"No products synchronized for this category. Please come back while online!","Ingen produkter synkronisert for denne kategorien. Kom tilbake mens du er online!"
"No such configuration for the product. Please do choose another combination of attributes.","Ingen slik konfigurasjon for produktet. Velg en annen kombinasjon av attributter."
"OK","OK"
"Only {maxQuantity} products of this type are available!","Bare {maxQuantity} produkter av denne typen er tilgjengelige!"
"Or if you will stay on ""Order confirmation"" page, the order will be placed automatically without confirmation, once the internet connection will be back.","Eller hvis du vil være på siden ""Ordrebekreftelse"", blir ordren plassert automatisk uten bekreftelse, når internettforbindelsen er tilbake."
"Out of stock!","Utsolgt!"
"Out of the stock!","Ikke på lager!"
"Payment Information","Betalingsinformasjon"
"Please configure product bundle options and fix the validation errors","Konfigurer alternativene for pakkeprodukter og fikser valideringsfeil"
"Please configure product custom options and fix the validation errors","Konfigurer tilpassede produktalternativer og fikser valideringsfeil"
"Please confirm order you placed when you was offline","Bekreft bestillingen du la når du var frakoblet"
"Please fix the validation errors","Rett til valideringsfeil"
"Please select the field which You like to sort by","Velg feltet du vil sortere etter"
"Please wait ...","Vennligst vent ..."
"Proceed to checkout","Fortsett til utsjekking"
"Processing order...","Behandler bestilling ..."
"Product has been added to the cart!","Produktet er lagt i handlekurven!"
"Product price is unknown, product cannot be added to the cart!","Produktprisen er ukjent, produktet kan ikke legges i handlekurven!"
"Product quantity has been updated!","Produktmengde er oppdatert!"
"Product {productName} has been added to the compare!","Produkt {productName} er lagt til i sammenligningen!"
"Product {productName} has been added to wishlist!","Produktet {productName} er lagt til ønskeliste!"
