"A customer with the same email already exists in an associated website.","En kunde med samme e-postadresse eksisterer allerede på et tilknyttet nettsted."
"About us (Magento CMS)","Om oss"
"About us","Om oss"
"Accepts only alphabet characters.","Godtar bare alfabetetegn."
"Add a discount code","Legg til en rabattkode"
"Add discount code","Søke om"
"Add to cart","Legg i handlekurv"
"Add to compare","Legg til for å sammenligne"
"Add to favorite","Legg til i favoritter"
"Allow notification about the order","Tillat varsel om bestillingen"
"Are you sure you would like to remove all the items from the shopping cart?","Er du sikker på at du vil fjerne alle varene fra handlekurven?"
"Are you sure you would like to remove all the items from the wishlist?","Er du sikker på at du vil fjerne alle varene fra ønskelisten?"
"Author","Forfatter"
"Authorization in progress ...","Autorisering pågår ..."
"Back to login","Tilbake til innlogging"
"Back","Tilbake"
"Billing address","Fakturaadresse"
"Cancel","Avbryt"
"Cash on delivery","Kontantbetaling ved levering"
"Change my password","Endre passordet mitt"
"Choose your country","Velg landet ditt"
"City *","By *"
"City","By"
"Clear cart","Tøm vogn"
"Clear filters","Fjern filtre"
"Clear wishlist","Tøm ønskeliste"
"Clear","Klar"
"Close","Lukk"
"Cms Page Sync","Cms sidesynkronisering"
"Columns","kolonner"
"Company name *","Selskapsnavn *"
"Compare products","Sammenlign produkter"
"Confirm your order","Bekreft din bestilling"
"Contact us","Kontakt oss"
"Continue to payment","Fortsett til betaling"
"Continue to shipping","Fortsett til frakt"
"Copy address data from shipping","Kopier adressedata fra frakt"
"Country *","Land *"
"Country","Land"
"Create a new account","Lag en ny bruker"
"Current password *","Nåværende passord *"
"Custom Cms Page","Tilpasset SMS-side"
"Customer service (Magento CMS)","Kundeservice"
"Customer service","Kundeservice"
"DPD Courier","DPD Courier"
"Date and time","Dato og tid"
"Delivery","Leveranse"
"Departments","avdelinger"
"Discount code","Rabattkode"
"Discount","Rabatt"
"Don't hesitate and","Ikke nøl og"
"E-mail address *","Epostadresse *"
"E-mail us at <b>demo@vuestorefront.io</b> with any questions, suggestions how we could improve products or shopping experience","Send oss ​​en e-post til <b> demo@vuestorefront.io </b> med spørsmål, forslag til hvordan vi kan forbedre produktene eller handleopplevelsen"
"Edit newsletter preferences","Rediger preferanser for nyhetsbrev"
"Edit payment","Rediger betaling"
"Edit personal details","Rediger personlige detaljer"
"Edit shipping","Rediger frakt"
"Edit your profile","Rediger profilen din"
"Edit your shipping details","Rediger leveringsdetaljene dine"
"Edit","Redigere"
"Email address *","Epostadresse *"
"Email address","Epostadresse"
"English","Engelsk"
"Enter your email to receive instructions on how to reset your password.","Skriv inn e-posten din for å motta instruksjoner om hvordan du tilbakestiller passordet ditt."
"Erin recommends","Erin anbefaler"
"Error while sending reset password e-mail","Feil under sending av tilbakestill passord e-post"
"Everything new","Alt nytt"
"Extension developers would like to thank you for placing an order!","Utvidelsesutviklere vil takke for at du har bestilt!"
"Field is required","Feltet er påkrevet"
"Filter by categories","Filtrer etter kategorier"
"Filter","Filter"
"Filters","filtre"
"First name *","Fornavn *"
"First name","Fornavn"
"Forgot the password?","Glemt passordet?"
"General agreement","Generell avtale"
"German","tysk"
"Germany","Tyskland"
"Get inspired","Bli inspirert"
"Give a feedback","Gi en tilbakemelding"
"Go review the order","Gå gjennom bestillingen"
"Go to Facebook","Gå til Facebook"
"Go to Instagram","Gå til Instagram"
"Go to Pinterest","Gå til Pinterest"
"Go to Youtube","Gå til Youtube"
"Go to checkout","Gå til utsjekk"
"Help","Hjelp"
"Home","Hjem"
